,0
1451,japanese
1452,italian
1453,japanese
1454,italian
1455,italian
1456,french
1457,italian
1458,indian
1459,mexican
1460,italian
1461,thai
1462,chinese
1463,italian
1464,southern_us
1465,southern_us
1466,indian
1467,southern_us
1468,italian
1469,french
1470,jamaican
1471,greek
1472,southern_us
1473,russian
1474,italian
1475,chinese
1476,moroccan
1477,italian
1478,italian
1479,french
1480,indian
1481,italian
1482,italian
1483,thai
1484,southern_us
1485,italian
1486,british
1487,italian
1488,italian
1489,french
1490,french
1491,italian
1492,mexican
1493,french
1494,southern_us
1495,french
1496,chinese
1497,french
1498,southern_us
1499,french
1500,french
1501,italian
1502,greek
1503,italian
1504,italian
1505,southern_us
1506,italian
1507,italian
1508,thai
1509,southern_us
1510,italian
1511,italian
1512,italian
1513,french
1514,french
1515,japanese
1516,italian
1517,italian
1518,chinese
1519,french
1520,italian
1521,italian
1522,italian
1523,greek
1524,mexican
1525,italian
1526,italian
1527,indian
1528,mexican
1529,italian
1530,italian
1531,french
1532,french
1533,greek
1534,french
1535,italian
1536,italian
1537,french
1538,indian
1539,italian
1540,chinese
1541,italian
1542,moroccan
1543,russian
1544,italian
1545,italian
1546,italian
1547,italian
1548,italian
1549,chinese
1550,mexican
1551,southern_us
1552,french
1553,southern_us
1554,cajun_creole
1555,italian
1556,italian
1557,italian
1558,southern_us
1559,italian
1560,italian
1561,brazilian
1562,mexican
1563,japanese
1564,italian
1565,french
1566,mexican
1567,italian
1568,thai
1569,mexican
1570,greek
1571,southern_us
1572,southern_us
1573,chinese
1574,spanish
1575,southern_us
1576,japanese
1577,russian
1578,french
1579,spanish
1580,italian
1581,southern_us
1582,italian
1583,french
1584,italian
1585,chinese
1586,french
1587,italian
1588,french
1589,french
1590,mexican
1591,italian
1592,british
1593,jamaican
1594,french
1595,french
1596,french
1597,italian
1598,italian
1599,italian
1600,italian
1601,mexican
1602,indian
1603,mexican
1604,french
1605,japanese
1606,thai
1607,brazilian
1608,southern_us
1609,spanish
1610,vietnamese
1611,french
1612,southern_us
1613,italian
1614,italian
1615,indian
1616,spanish
1617,italian
1618,southern_us
1619,mexican
1620,mexican
1621,spanish
1622,french
1623,chinese
1624,chinese
1625,russian
1626,italian
1627,french
1628,italian
1629,chinese
1630,french
1631,mexican
1632,southern_us
1633,french
1634,british
1635,moroccan
1636,mexican
1637,southern_us
1638,japanese
1639,french
1640,mexican
1641,french
1642,italian
1643,french
1644,irish
1645,italian
1646,french
1647,mexican
1648,italian
1649,indian
1650,italian
1651,greek
1652,italian
1653,british
1654,moroccan
1655,french
1656,brazilian
1657,french
1658,french
1659,irish
1660,southern_us
1661,spanish
1662,french
1663,italian
1664,mexican
1665,southern_us
1666,italian
1667,greek
1668,japanese
1669,french
1670,thai
1671,southern_us
1672,mexican
1673,southern_us
1674,french
1675,french
1676,italian
1677,japanese
1678,indian
1679,british
1680,mexican
1681,french
1682,southern_us
1683,southern_us
1684,southern_us
1685,mexican
1686,italian
1687,southern_us
1688,moroccan
1689,chinese
1690,italian
1691,italian
1692,southern_us
1693,italian
1694,french
1695,korean
1696,greek
1697,japanese
1698,mexican
1699,french
1700,french
1701,russian
1702,french
1703,italian
1704,italian
1705,japanese
1706,italian
1707,french
1708,cajun_creole
1709,french
1710,italian
1711,french
1712,french
1713,southern_us
1714,italian
1715,southern_us
1716,italian
1717,french
1718,thai
1719,italian
1720,french
1721,southern_us
1722,indian
1723,cajun_creole
1724,moroccan
1725,thai
1726,italian
1727,french
1728,italian
1729,southern_us
1730,southern_us
1731,french
1732,chinese
1733,southern_us
1734,italian
1735,chinese
1736,southern_us
1737,french
1738,southern_us
1739,french
1740,mexican
1741,french
1742,british
1743,italian
1744,mexican
1745,french
1746,italian
1747,thai
1748,spanish
1749,mexican
1750,southern_us
1751,french
1752,thai
1753,irish
1754,italian
1755,cajun_creole
1756,mexican
1757,french
1758,indian
1759,southern_us
1760,mexican
1761,mexican
1762,indian
1763,mexican
1764,chinese
1765,mexican
1766,thai
1767,french
1768,french
1769,vietnamese
1770,mexican
1771,british
1772,italian
1773,korean
1774,thai
1775,russian
1776,mexican
1777,southern_us
1778,italian
1779,italian
1780,italian
1781,moroccan
1782,indian
1783,french
1784,southern_us
1785,chinese
1786,spanish
1787,greek
1788,french
1789,indian
1790,french
1791,french
1792,french
1793,mexican
1794,italian
1795,southern_us
1796,italian
1797,greek
1798,french
1799,korean
1800,french
1801,italian
1802,spanish
1803,chinese
1804,indian
1805,mexican
1806,italian
1807,greek
1808,french
1809,french
1810,french
1811,french
1812,chinese
1813,russian
1814,italian
1815,italian
1816,mexican
1817,cajun_creole
1818,southern_us
1819,spanish
1820,italian
1821,french
1822,italian
1823,cajun_creole
1824,indian
1825,french
1826,french
1827,french
1828,chinese
1829,british
1830,mexican
1831,southern_us
1832,southern_us
1833,french
1834,italian
1835,italian
1836,french
1837,indian
1838,italian
1839,southern_us
1840,italian
1841,italian
1842,british
1843,italian
1844,chinese
1845,southern_us
1846,indian
1847,greek
1848,mexican
1849,mexican
1850,mexican
1851,mexican
1852,japanese
1853,french
1854,filipino
1855,southern_us
1856,korean
1857,italian
1858,thai
1859,french
1860,southern_us
1861,indian
1862,british
1863,southern_us
1864,french
1865,irish
1866,italian
1867,southern_us
1868,southern_us
1869,british
1870,southern_us
1871,greek
1872,southern_us
1873,russian
1874,french
1875,french
1876,french
1877,greek
1878,southern_us
1879,southern_us
1880,french
1881,british
1882,italian
1883,french
1884,french
1885,moroccan
1886,french
1887,southern_us
1888,spanish
1889,spanish
1890,french
1891,italian
1892,southern_us
1893,chinese
1894,southern_us
1895,mexican
1896,italian
1897,italian
1898,french
1899,southern_us
1900,italian
1901,italian
1902,southern_us
1903,moroccan
1904,french
1905,italian
1906,french
1907,southern_us
1908,southern_us
1909,mexican
1910,italian
1911,italian
1912,italian
1913,mexican
1914,french
1915,southern_us
1916,mexican
1917,italian
1918,italian
1919,mexican
1920,italian
1921,mexican
1922,italian
1923,british
1924,southern_us
1925,italian
1926,french
1927,mexican
1928,mexican
1929,british
1930,italian
1931,mexican
1932,mexican
1933,greek
1934,italian
1935,french
1936,mexican
1937,southern_us
1938,french
1939,french
1940,french
1941,chinese
1942,italian
1943,french
1944,british
1945,indian
1946,southern_us
1947,italian
1948,mexican
1949,indian
1950,italian
1951,italian
1952,chinese
1953,mexican
1954,chinese
1955,italian
1956,southern_us
1957,southern_us
1958,french
1959,british
1960,spanish
1961,southern_us
1962,indian
1963,french
1964,greek
1965,spanish
1966,mexican
1967,thai
1968,moroccan
1969,french
1970,italian
1971,italian
1972,italian
1973,french
1974,french
1975,korean
1976,british
1977,mexican
1978,greek
1979,southern_us
1980,french
1981,french
1982,southern_us
1983,italian
1984,french
1985,italian
1986,italian
1987,british
1988,french
1989,irish
1990,french
1991,vietnamese
1992,japanese
1993,southern_us
1994,italian
1995,vietnamese
1996,italian
1997,italian
1998,italian
1999,mexican
2000,southern_us
2001,italian
2002,french
2003,mexican
2004,irish
2005,southern_us
2006,italian
2007,mexican
2008,southern_us
2009,greek
2010,italian
2011,southern_us
2012,southern_us
2013,mexican
2014,british
2015,italian
2016,italian
2017,french
2018,french
2019,spanish
2020,chinese
2021,british
2022,italian
2023,italian
2024,mexican
2025,french
2026,italian
2027,italian
2028,british
2029,french
2030,french
2031,mexican
2032,mexican
2033,greek
2034,southern_us
2035,mexican
2036,french
2037,chinese
2038,italian
2039,italian
2040,spanish
2041,italian
2042,french
2043,french
2044,russian
2045,indian
2046,british
2047,french
2048,greek
2049,french
2050,italian
2051,italian
2052,indian
2053,italian
2054,brazilian
2055,mexican
2056,chinese
2057,mexican
2058,italian
2059,indian
2060,french
2061,french
2062,indian
2063,japanese
2064,mexican
2065,chinese
2066,italian
2067,thai
2068,british
2069,french
2070,italian
2071,mexican
2072,french
2073,thai
2074,french
2075,southern_us
2076,italian
2077,italian
2078,italian
2079,moroccan
2080,southern_us
2081,italian
2082,italian
2083,japanese
2084,spanish
2085,italian
2086,french
2087,moroccan
2088,thai
2089,italian
2090,irish
2091,chinese
2092,southern_us
2093,french
2094,chinese
2095,vietnamese
2096,southern_us
2097,french
2098,russian
2099,italian
2100,southern_us
2101,french
2102,italian
2103,japanese
2104,italian
2105,italian
2106,french
2107,mexican
2108,french
2109,mexican
2110,french
2111,spanish
2112,italian
2113,mexican
2114,italian
2115,moroccan
2116,brazilian
2117,southern_us
2118,spanish
2119,french
2120,southern_us
2121,french
2122,french
2123,french
2124,italian
2125,spanish
2126,russian
2127,moroccan
2128,indian
2129,italian
2130,spanish
2131,italian
2132,mexican
2133,chinese
2134,southern_us
2135,french
2136,italian
2137,french
2138,southern_us
2139,french
2140,french
2141,french
2142,southern_us
2143,italian
2144,french
2145,mexican
2146,british
2147,mexican
2148,chinese
2149,italian
2150,french
2151,thai
2152,mexican
2153,french
2154,italian
2155,italian
2156,mexican
2157,british
2158,italian
2159,chinese
2160,french
2161,thai
2162,french
2163,southern_us
2164,southern_us
2165,southern_us
2166,southern_us
2167,southern_us
2168,brazilian
2169,jamaican
2170,mexican
2171,southern_us
2172,italian
2173,italian
2174,thai
2175,italian
2176,southern_us
2177,french
2178,southern_us
2179,chinese
2180,italian
2181,italian
2182,southern_us
2183,japanese
2184,italian
2185,mexican
2186,italian
2187,southern_us
2188,mexican
2189,french
2190,italian
2191,italian
2192,french
2193,italian
2194,british
2195,italian
2196,french
2197,indian
2198,southern_us
2199,mexican
2200,greek
2201,italian
2202,chinese
2203,mexican
2204,french
2205,italian
2206,southern_us
2207,italian
2208,thai
2209,mexican
2210,italian
2211,southern_us
2212,italian
2213,brazilian
2214,southern_us
2215,indian
2216,french
2217,cajun_creole
2218,chinese
2219,mexican
2220,french
2221,french
2222,moroccan
2223,italian
2224,italian
2225,southern_us
2226,italian
2227,british
2228,french
2229,french
2230,italian
2231,mexican
2232,mexican
2233,southern_us
2234,irish
2235,french
2236,southern_us
2237,chinese
2238,french
2239,french
2240,japanese
2241,french
2242,chinese
2243,french
2244,southern_us
2245,italian
2246,british
2247,italian
2248,french
2249,french
2250,southern_us
2251,italian
2252,greek
2253,southern_us
2254,spanish
2255,southern_us
2256,french
2257,southern_us
2258,indian
2259,mexican
2260,japanese
2261,italian
2262,french
2263,italian
2264,french
2265,russian
2266,southern_us
2267,southern_us
2268,southern_us
2269,french
2270,italian
2271,russian
2272,french
2273,spanish
2274,mexican
2275,greek
2276,french
2277,moroccan
2278,french
2279,southern_us
2280,chinese
2281,italian
2282,french
2283,french
2284,italian
2285,indian
2286,italian
2287,southern_us
2288,french
2289,italian
2290,italian
2291,french
2292,japanese
2293,italian
2294,southern_us
2295,moroccan
2296,southern_us
2297,italian
2298,italian
2299,southern_us
2300,spanish
2301,mexican
2302,italian
2303,french
2304,italian
2305,chinese
2306,italian
2307,southern_us
2308,italian
2309,southern_us
2310,french
2311,indian
2312,thai
2313,southern_us
2314,italian
2315,mexican
2316,italian
2317,italian
2318,moroccan
2319,mexican
2320,greek
2321,italian
2322,french
2323,japanese
2324,italian
2325,italian
2326,italian
2327,korean
2328,mexican
2329,thai
2330,italian
2331,southern_us
2332,italian
2333,mexican
2334,italian
2335,french
2336,italian
2337,thai
2338,french
2339,indian
2340,french
2341,mexican
2342,italian
2343,italian
2344,chinese
2345,italian
2346,italian
2347,indian
2348,spanish
